model,seq_len,layer,head,sink_share_first_1,sink_share_first_4,entropy,normalized_entropy,peak_position,head_type
gpt2,512,7,8,0.8503684997558594,0.8503685593605042,0.99744713306427,0.15989022582452628,0,strong_sink
gpt2,512,7,9,0.6157207489013672,0.6157207489013672,2.1955690383911133,0.3519485070684677,0,strong_sink
gpt2,512,7,10,0.0017520524561405182,0.0017825206741690636,5.233132839202881,0.8388683106034641,409,distributed
gpt2,512,7,11,0.12620508670806885,0.1281377524137497,5.554133415222168,0.8903245260640782,0,distributed
gpt2,512,8,0,0.565948486328125,0.5677924752235413,3.093076229095459,0.49581841520083936,0,strong_sink
gpt2,512,8,1,0.02854742482304573,0.030885867774486542,5.688229084014893,0.9118199878831841,0,distributed
gpt2,512,8,2,0.5832242965698242,0.5891983509063721,3.0637710094451904,0.4911208046384389,0,strong_sink
gpt2,512,8,3,0.8149929046630859,0.8153727054595947,1.4530022144317627,0.23291545435126515,0,strong_sink
gpt2,512,8,4,0.9182453155517578,0.9182453751564026,0.6040336489677429,0.0968262610995364,0,strong_sink
gpt2,512,8,5,0.4801340103149414,0.48013439774513245,2.828301191329956,0.45337512254134166,0,moderate_sink
gpt2,512,8,6,0.3755955696105957,0.382793128490448,4.268992900848389,0.6843172097382401,0,moderate_sink
gpt2,512,8,7,0.5650844573974609,0.5650844573974609,2.4383134841918945,0.3908603079751485,0,strong_sink
gpt2,512,8,8,0.8923606872558594,0.8924321532249451,0.8595707416534424,0.1377887162529633,0,strong_sink
gpt2,512,8,9,0.7125358581542969,0.7128874659538269,2.095576524734497,0.3359197622264208,0,strong_sink
gpt2,512,8,10,0.5286178588867188,0.528774619102478,3.17576003074646,0.5090725830457,0,strong_sink
gpt2,512,8,11,0.9006309509277344,0.9006814956665039,0.7866259217262268,0.12609570181212637,0,strong_sink
gpt2,512,9,0,0.7187976837158203,0.7202513813972473,2.096653461456299,0.33609239458952017,0,strong_sink
gpt2,512,9,1,0.39440155029296875,0.4006485044956207,4.035780906677246,0.6469334555752919,0,moderate_sink
gpt2,512,9,2,0.7795295715332031,0.7802408337593079,1.7453587055206299,0.27978003878077706,0,strong_sink
gpt2,512,9,3,0.6783370971679688,0.6783372759819031,1.8858457803726196,0.3023000394694395,0,strong_sink
gpt2,512,9,4,0.8590278625488281,0.8635496497154236,1.1670646667480469,0.187079823012682,0,strong_sink
gpt2,512,9,5,0.6350364685058594,0.6355177760124207,2.7350449562072754,0.43842619943651207,0,strong_sink
gpt2,512,9,6,0.3940820097923279,0.403186559677124,4.018988609313965,0.644241659560721,0,moderate_sink
gpt2,512,9,7,0.75091552734375,0.75101637840271,1.7239570617675781,0.2763493670797326,0,strong_sink
gpt2,512,9,8,0.8676223754882812,0.8684802651405334,1.0413320064544678,0.1669249468478683,0,strong_sink
gpt2,512,9,9,0.21248434484004974,0.21774041652679443,5.060782432556152,0.811240635385194,0,moderate_sink
gpt2,512,9,10,0.870941162109375,0.8709412217140198,0.8959671258926392,0.1436230365916498,0,strong_sink
gpt2,512,9,11,0.48606014251708984,0.49098536372184753,3.7044639587402344,0.5938235313807149,0,moderate_sink
gpt2,512,10,0,0.3869253396987915,0.3899306356906891,4.048177242279053,0.6489205813417277,0,moderate_sink
gpt2,512,10,1,0.2593538165092468,0.26560497283935547,4.750354290008545,0.761479175184549,0,moderate_sink
gpt2,512,10,2,0.6340103149414062,0.6359773874282837,2.8026552200317383,0.44926408747348395,0,strong_sink
gpt2,512,10,3,0.3734097480773926,0.3781314790248871,4.192633628845215,0.6720768605110322,0,moderate_sink
gpt2,512,10,4,0.446502685546875,0.4494587779045105,3.8973684310913086,0.6247460120058479,0,moderate_sink
gpt2,512,10,5,0.9521408081054688,0.9521414041519165,0.3991612195968628,0.0639853235586205,0,strong_sink
gpt2,512,10,6,0.3916429877281189,0.3937990367412567,3.9925270080566406,0.6399998794598407,0,moderate_sink
gpt2,512,10,7,0.5905265808105469,0.6027414202690125,2.962259292602539,0.4748485323627702,0,strong_sink
gpt2,512,10,8,0.36716175079345703,0.3764597773551941,4.273035526275635,0.6849652403666912,0,moderate_sink
gpt2,512,10,9,0.8572731018066406,0.8572732210159302,1.0200114250183105,0.16350726939155572,0,strong_sink
gpt2,512,10,10,0.6065082550048828,0.6079433560371399,2.895202398300171,0.4640993491552767,0,strong_sink
gpt2,512,10,11,0.41257959604263306,0.42384469509124756,3.8195807933807373,0.6122766965427914,0,moderate_sink
gpt2,512,11,0,0.08972835540771484,0.0912516862154007,5.575893402099609,0.8938126399705109,0,distributed
gpt2,512,11,1,0.5559120178222656,0.5653494000434875,3.1235461235046387,0.5007027224853431,0,strong_sink
gpt2,512,11,2,0.674713134765625,0.6803594827651978,2.4427566528320312,0.39157254545992165,0,strong_sink
gpt2,512,11,3,0.6423625946044922,0.6425541043281555,2.6112277507781982,0.4185783696310387,0,strong_sink
gpt2,512,11,4,0.6492576599121094,0.668983519077301,2.705838680267334,0.4337444494963578,0,strong_sink
gpt2,512,11,5,0.4331512451171875,0.45109665393829346,3.7633533477783203,0.6032634679947402,0,moderate_sink
gpt2,512,11,6,0.5722408294677734,0.5800150632858276,3.1430978775024414,0.5038368578779332,0,strong_sink
gpt2,512,11,7,0.39317750930786133,0.4391772747039795,3.9453396797180176,0.6324357767279595,0,moderate_sink
gpt2,512,11,8,9.639188647270203e-07,0.0006766496226191521,5.580318927764893,0.8945220492961364,151,distributed
gpt2,512,11,9,0.1785610318183899,0.19102798402309418,5.006457805633545,0.8025324276230397,0,distributed
gpt2,512,11,10,0.7616233825683594,0.7759084701538086,1.884052038192749,0.3020125035863803,0,strong_sink
gpt2,512,11,11,0.9650847911834717,0.9653103351593018,0.32800450921058655,0.05257894209192573,0,strong_sink
