model,seq_len,layer,head,tail_window,sink_share_first_1,sink_share_first_4,sink_share_first_8,uniform_first_1,uniform_first_4,uniform_first_8,boost_first_1,boost_first_4,boost_first_8,peak_key_pos,peak_key_mass,top1_first4_query_frac,top1_first8_query_frac
gpt2-medium,128,1,4,64,0.029209114611148834,0.0522858202457428,0.08666400611400604,0.010769627951303177,0.04307851180521271,0.08615702361042542,2.7121748999336965,1.2137332060625168,1.0058844013213948,0,0.029209114611148834,0.1875,0.203125
gpt2-medium,128,1,5,64,0.03128623962402344,0.12224602699279785,0.2647361755371094,0.010769627951303177,0.04307851180521271,0.08615702361042542,2.905043680755717,2.8377495384602747,3.072717283435439,6,0.049958229064941406,0.109375,0.6875
gpt2-medium,128,1,6,64,0.06287384033203125,0.17213892936706543,0.24494796991348267,0.010769627951303177,0.04307851180521271,0.08615702361042542,5.838069858710691,3.995934914033771,2.8430412246024104,0,0.06287384033203125,1.0,1.0
gpt2-medium,128,1,7,64,0.0027648210525512695,0.007776040583848953,0.011912019923329353,0.010769627951303177,0.04307851180521271,0.08615702361042542,0.2567239151670706,0.18050857046802657,0.13825941779502166,81,0.052318453788757324,0.0,0.0
gpt2-medium,128,1,8,64,0.1457822322845459,0.2399613857269287,0.30687016248703003,0.010769627951303177,0.04307851180521271,0.08615702361042542,13.536422329882393,5.570326728368834,3.561754452830207,0,0.1457822322845459,0.78125,0.78125
gpt2-medium,128,1,9,64,0.018381178379058838,0.026245789602398872,0.03821977600455284,0.010769627951303177,0.04307851180521271,0.08615702361042542,1.7067607592548846,0.6092547885840152,0.44360603933314224,57,0.1134800910949707,0.0,0.0
gpt2-medium,128,1,10,64,0.01467883586883545,0.0328538715839386,0.06080830097198486,0.010769627951303177,0.04307851180521271,0.08615702361042542,1.3629844907557125,0.7626510342904446,0.7057846061040898,65,0.016011476516723633,0.203125,0.203125
gpt2-medium,128,1,11,64,0.06935703754425049,0.08733223378658295,0.10597372055053711,0.010769627951303177,0.04307851180521271,0.08615702361042542,6.440058826345802,2.027280658660435,1.230006749417395,0,0.06935703754425049,0.3125,0.3125
gpt2-medium,128,1,12,64,0.05470740795135498,0.07339315116405487,0.09109807014465332,0.010769627951303177,0.04307851180521271,0.08615702361042542,5.079786246908847,1.7037067458577793,1.057349317875345,57,0.07489919662475586,0.046875,0.046875
gpt2-medium,128,1,13,64,0.04991710186004639,0.0755433440208435,0.10335671901702881,0.010769627951303177,0.04307851180521271,0.08615702361042542,4.634988514529527,1.7536200963122035,1.199631959019092,0,0.04991710186004639,0.34375,0.34375
